skip,language,term,transliteration,item,explanation,group,sense,source,katzer,katzer tr,checked,page,reference,link
,Jamaican Creole,peppa,,peppa,,pippali,spice,Wiktionary,,,,,,
,Japanese,"胡椒, こしょう",koshō,koshō,1. clearly borrowed,hujiao,spice,Wiktionary,,,,,WOLD,
,Javanese,mrica,,mrica,script?,marica,spice,Wiktionary,,,,,,
,Kannada,"ಮೆಣಸು, ಕರಿಮೆಣಸು","meṇasu, karimeṇasu","meṇasu, karimeṇasu",?,marica,spice,Wiktionary,,,,,,
,Kanuri,njìttá,,njìttá,5. no evidence for borrowing,other,spice,WOLD,,,,,,
,Kanuri,mòsóró,,mòsóró,1. clearly borrowed,other,spice,WOLD,,,,,,
,Kashmiri,مرژ,martz,martz,,marica,,Katzer,,,,,,
,Kavalan,mǝnnə́t,,mǝnnə́t,,other,spice,Wiktionary,,,,,,
,Kazakh,бұрыш ,burış,burış,,marica,spice,Wiktionary,,,,,,
,Ket,bogij,,bogij,5. no evidence for borrowing,other,spice,WOLD,,,,,,
,Khasi,soh marit/mrit,,soh marit/mrit,,marica,,Katzer,,,,,,
,Khmer,ម្រេច ,mrɨc,mrɨc,,marica,spice,Wiktionary,,,,,,
,Kildin Saami,pierec,,pierec,1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Kirghiz,мурч ,murç,murç,,marica,spice,Wiktionary,,,,,,
,Korean,"고추, 후추, 호초","gochu, huchu, hocho","gochu, huchu",,hujiao,spice,Wiktionary,,,,,,
,Lao,ພິກໄທ,phik thai,phik thai,from Thai,other,spice,Wiktionary,"ພິກນ້ອຍ, ພິກໄທ","Mak phik thai, Phik noi, Phik thai",,,,
,Latin,piper,,piper,,pippali,spice,Wiktionary,,,,,,
,Latvian,pipari,,pipari,,pippali,spice,Wiktionary,,,,,,
,Lingala,pilipilí,,pilipilí,,pippali,spice,Wiktionary,,,,,,
,Lithuanian,piparas,,piparas,,pippali,spice,Wiktionary,,,,,,
,Lombard,"pever, pevre",,"pever, pevre",,pippali,spice,Wiktionary,,,,,,
,Low German,Peper,,Peper,,pippali,spice,Wiktionary,,,,,,
,Lower Sorbian,"peṕeŕ, per",,pjepjeŕ,1. clearly borrowed,pippali,spice,Wiktionary,,,,,WOLD,
,Lü,ᦘᦲᧅ,phiik,phiik,from Thai,other,spice,Wiktionary,,,,,,
,Luxembourgish,Peffer,,Peffer,,pippali,spice,Wiktionary,,,,,,
,Macedonian,бибер,"biber, crn piper",biber,,pippali,spice,Wiktionary,,,,,,
,Maithili,मरिच,marich,marich,,marica,,Katzer,,,,,,
,Malagasy,dipoàvatra,,dipoàvatra,1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Malay,lada,,lada,,other,spice,Wiktionary,,,,,,
,Malayalam,കുരുമുളക് ,kurumuḷakŭ,kurumuḷakŭ,"compound of കുരു (kuru) +‎ മുളക് (muḷakŭ), literally “seed chili”.",other,spice,Wiktionary,"കുരുമുളക്, യവനപ്രിയം","Kurumulagu, Yavanapriyam",,,,https://en.wiktionary.org/wiki/%E0%B4%95%E0%B5%81%E0%B4%B0%E0%B5%81%E0%B4%AE%E0%B5%81%E0%B4%B3%E0%B4%95%E0%B5%8D
,Maltese,bżar,,bżar,,other,spice,Wiktionary,,,,,,
,Manange,kutuŋ,,kutuŋ,5. no evidence for borrowing,other,spice,WOLD,,,,,,
,Mandarin Chinese,胡椒 ,hújiāo,hújiāo,5. no evidence for borrowing,hujiao,spice,Wiktionary,,,,hu2jiao1,WOLD,
,Manipuri,"গোলমোরোক, ꯒꯣꯜꯃꯣꯔꯣꯛ",golmorok,golmorok,,marica,,Katzer,,,,,,
,Manx,pibbyr,,pibbyr,,pippali,spice,Wiktionary,,,,,,
,Maori,pepa,,pepa,,pippali,spice,Wiktionary,,,,,,
,Marathi,मिरे,mire,mire,,other,,Katzer,,,,,,
yes,Mizo,thing hmarcha,,thing hmarcha,,other,,Katzer,,,,,,
,Mòcheno,pever,,pever,,pippali,spice,Wiktionary,,,,,,
,Modern Greek,πιπέρι,pipéri,pipéri,,pippali,spice,Wiktionary,,,,,,
,Modern Hebrew,פִּלְפֵּל‎,pilpel,pilpel,,pippali,spice,Wiktionary,,,,,,
,Mongolian,перц,perts,perts,,pippali,spice,Wiktionary,"Перьц, Чинжүү","Pjer’ts, Chinzhüü",,,,
,Moroccan Arabic,"بزار‎, إبزار‎","bzār, ʔibzār","bzār, ʔibzār","borrowed from Middle Persian [Book Pahlavi needed] (ʾp̄zʾl), [Book Pahlavi needed] (ʾp̄cʾl /abzār, abčār/, “instrument, tool; spice”), in Classical Persian افزار‎ (afzâr), اوزار‎ (avzâr), ابزار‎ (abzâr, “tool”), also in the sense of a marinade آچار‎ (âčâr), which serves another borrowing into the Arabic culinary regiolects as أَچَار‎‎ (ačār) ~ عُشَّار‎ (ʿuššār, “pickles”). Conflated with بِزْر‎ (bizr, “seed”), as if denoting seeds used for seasoning.",other,spice,Wiktionary,,,,,,https://en.wiktionary.org/wiki/%D8%A3%D8%A8%D8%B2%D8%A7%D8%B1
,Navajo,azeedíchʼííʼ łibáhí,,azeedíchʼííʼ łibáhí,,other,spice,Wiktionary,,,,,,
,Nepali,मरिच,marich,marich,,marica,,Katzer,,,,,,
,Newari,मले,male,male,,other,,Katzer,,,,,,
,North Frisian,pöber,,pöber,,pippali,spice,Wiktionary,,,,,,
,North Sami,bihppor,,bihppor,,pippali,spice,Wiktionary,,,,,,
,Northern Kurdish,filfil,,filfil,,pippali,spice,Wiktionary,,,,,,
,Norwegian,pepper,,pepper,,pippali,spice,Wiktionary,,,,,,
,Occitan,pebre,,pebre,,pippali,spice,Wiktionary,,,,,,
,Odia,"ମରୀଚ, ଗୋଲମରୀଚ","maricha, gola maricha","maricha, gola maricha",,marica,,Katzer,,,,,,
,Old Church Slavonic,пьпьрь ,pĭpĭrĭ,pĭpĭrĭ,,pippali,spice,Wiktionary,,,,,,
,Old East Slavic,"пьпьрь, перець  ","pĭpĭrĭ, perecĭ","pĭpĭrĭ, perecĭ","pĭpĭrĭ, 12th century, perecĭ, 14th century",pippali,spice,Wiktionary,biji lada,,,,,
,Old Frisian,piper,,piper,,pippali,spice,Wiktionary,,,,,,
,Old High German,"pheffur, pheffar",,"pheffur, pheffar",1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Old Javanese,marica,,marica,,marica,spice,Wiktionary,,,,,,
,Oroqen,hudʒau,,hudʒau,1. clearly borrowed,hujiao,spice,WOLD,,,,,,
,Ossetian,цывзы,cyvzy,cyvzy,,other,spice,Wiktionary,,,,,,
,Ossetian,бырц,byrc,byrc,,marica,spice,Wiktionary,,,,,,
,Otomi,nthänts'i,,nthänts'i,5. no evidence for borrowing,other,spice,WOLD,,,,,,
,Paiwan,mácam,,mácam,,other,spice,Wiktionary,,,,,,
,Persian,فلفل‎,felfel,felfel,,pippali,spice,Wiktionary,,,,,,
,Polish,pieprz,,pieprz,,pippali,spice,Wiktionary,,,,,,
,Portuguese,pimenta,,pimenta,,pigment,spice,Wiktionary,"Pimenta, Pimenta-do-reino, Pimenta-da-índia",,,,,
yes,Provençal,"pebre, peure",,"pebre, peure",,pippali,,Katzer,,,,,,
,Punjabi,ਕਾਲੀ ਮਿਰਚ,kali mirch,kali mirch,,marica,,Katzer,,,,,,
,Puyuma,naná,,naná,,other,spice,Wiktionary,,,,,,
,Q'eqchi',kaxlan q’een,,kaxlan q’een,5. no evidence for borrowing,other,spice,WOLD,,,,,,
yes,Quechua,piminta,,piminta,,pigment,spice,Wiktionary,,,,,,
,Romanian,piper,,piper,1. clearly borrowed,pippali,spice,Wiktionary,,,,,WOLD,
,Romansch,"paiver, peiver, pever",,"paiver, peiver, pever",,pippali,spice,Wiktionary,,,,,,
,Russian,пе́рец  ,pérec,pérec,,pippali,spice,Wiktionary,,,,,,
,Sakha,bieres,,bieres,1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Sanskrit,मरीचम्,marīcam,marīcam,,marica,spice,Wiktionary,,,,,,https://www.sanskrit-lexicon.uni-koeln.de/scans/csl-apidev/servepdf.php?dict=MWE&page=582-a
yes,Santali,gulki marich,gulki marich,gulki marich,,marica,,Katzer,,,,,,
,Saramaccan,pë́pë,,pë́pë,5. no evidence for borrowing,other,spice,WOLD,,,???,,,
,Sardinian,"pibere, pibiri, pipere",,"pibere, pibiri, pipere",,pippali,spice,Wiktionary,,,,,,
,Scottish Gaelic,piobar,,piobar,,pippali,spice,Wiktionary,,,,,,
,Selice Romani,pepšo,,pepšo,1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Serbian-Croatian-Bosnian,"бибер, папар","biber, papar","biber, papar",,pippali,spice,Wiktionary,,,,,,
,Seychelles Creole,dipwav,,dipwav,5. no evidence for borrowing,pippali,spice,WOLD,,,???,,,
,Shona,mhiripiri,,mhiripiri,chili,other,spice,Wiktionary,,,,115,,
,Sicilian,pipi,,pipi,,pippali,spice,Wiktionary,,,,,,
,Sindhi,ڪارو مرچ‎,kāro mircu,kāro mircu,,marica,,Wiktionary,,,,,,
,Sinhala,ගම්මිරිස්,gammiris,gammiris,ගම් gam + මිරිස් miris,marica,,Katzer,,,,,,https://dsal.uchicago.edu/cgi-bin/app/carter_query.py?qs=%E0%B6%9C%E0%B6%B8%E0%B7%8A%E0%B6%B8%E0%B7%92%E0%B6%BB%E0%B7%92%E0%B7%83%E0%B7%8A
,Slovak,piepor,,piepor,,pippali,spice,Wiktionary,,,,,,
,Slovak,korenie,,korenie,,other,spice,Wiktionary,,,,,,
,Slovene,poper,,poper,,pippali,spice,Wiktionary,,,,,,
,Spanish,pimienta,,pimienta,,pigment,spice,Wiktionary,,,,,,
,Sranan Tongo,pepre,,pepre,,pippali,,Katzer,,,,,,
,Standard Arabic,"فِلْفِل‎, فُلْفُل‎","filfil, fulful","filfil, fulful",,pippali,spice,Wiktionary,,,,,,
,Sundanese,pedes,,pedes,,other,spice,Wiktionary,,,,,,
,Swahili,pilipili manga,,pilipili manga,`Arabian pepper' (pilipili is just chili); 5. no evidence for borrowing?,pippali,spice,Wiktionary,,,,259,Johnson,WOLD
,Swedish,peppar,,peppar,,pippali,spice,Wiktionary,,,,,,
,Tagalog,paminta,,paminta,,pigment,spice,Wiktionary,,,,,,
,Tajik,филфил,filfil,filfil,,pippali,spice,Wiktionary,,,,,,
,Tajik,мурч,murč,murč,,marica,spice,Wiktionary,,,,,,
,Tamil,மிளகு,miḷaku,miḷaku,?,other,plant,Wiktionary,"மிளகு, யவனப்பிரிதம்","Milagu, Yavanappiriyam",,,,
,Tarifiyt Berber,řfəřfəř,,řfəřfəř,1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Tatar,борыч ,borıç,borıç,,marica,spice,Wiktionary,,,,,,
,Telugu,మిరియము,miriyamu,miriyamu,,other,spice,Wiktionary,,,,,,
,Thai,พริกไทย,prík-tai,phríkthay,maybe from European paprika?,other,spice,Wiktionary,,,,,WOLD,
,Thao,makámun,,makámun,,other,spice,Wiktionary,,,,,,
yes,Tibetan,ན་ལེ་ཤམ་,nalesham,nalesham,pepper,other,,manual,"ན་ལེ་ཤམ་, ཕོ་བ་རིལ་བུ་","Nalesham; Pho ba ril bu, Fowarilbu (writing uncertain)",,602,Goldstein et al.,
,Tibetan,སྨག་རྒྱུ་,smag rgyu,məggyu,smag `dark' + rgyu `substance'; black pepper,other,,manual,,,,837,Goldstein et al.,
,Tigrinya,በርበረ,bärbärä,bärbärä,,pippali,spice,Wiktionary,,,,,,
,Tlingit,si.áax'u at,,si.áax'u at,,other,spice,Wiktionary,,,,,,
,Tok Pisin,pepa,,pepa,,pippali,spice,Wiktionary,,,,,,
,Tonkawa,mummunchicew,,mummunchicew,,other,spice,Wiktionary,,,,,,
,Tulu,ಎಡ್ಡೆ ಮುಂಚಿ,edde munchi,edde munchi,,other,,Katzer,,,,,,
,Turkish,karabiber,,karabiber,kara `black' + biber `pepper',pippali,spice,Wiktionary,,,,,,
,Turkmen,burc,,burc,,marica,spice,Wiktionary,Бурч,Burç,,,,
,Ukrainian,пе́рець,pérecʹ,pérecʹ,,pippali,spice,Wiktionary,,,,,,
,Upper Sorbian,popjeŕ,,popjeŕ,,pippali,spice,Wiktionary,,,,,,
,Urdu,مرچ‎,mirc,mirc,,marica,spice,Wiktionary,گول مرچ,gol mirch,,,,
,Uyghur,مۇچ‎,much,much,,marica,spice,Wiktionary,,,,,,
,Uzbek,qalampir,,qalampir,"from qaranful, meaning red pepper",other,spice,Wiktionary,,,,,,
,Uzbek,murch,,murch,,marica,spice,Wiktionary,,,,,,
,Venetian,pévaro,,pévaro,,pippali,spice,Wiktionary,,,,,,
,Vietnamese,tiêu,,tiêu,,hujiao,spice,Wiktionary,,,,,WOLD,
,Volapük,pep,,pep,,pippali,spice,Wiktionary,,,,,,
,Walloon,poeve,,poeve,,pippali,spice,Wiktionary,,,,,,
,Welsh,"pupur, bupur",,"pupur, bupur",,pippali,spice,Wiktionary,,,,,,
,West Frisian,piper,,piper,,pippali,spice,Wiktionary,,,,,,
,White Hmong,hwj txob,,hwj txob,1. clearly borrowed,hujiao,spice,WOLD,,,,,,
,Wichí,ponhontaj,,ponhontaj,5. no evidence for borrowing,other,spice,WOLD,,,,,,
,Yaqui,pimientam,,pimientam,1. clearly borrowed,pigment,spice,WOLD,,,,,,
,Yiddish,פֿעפֿער‎,fefer,fefer,,pippali,spice,Wiktionary,,,,,,
,Yoruba,ata,,ata,"a- (agent prefix) +‎ ta (to be peppery, to be spicy), literally `that which is peppery'",other,spice,Wiktionary,,,,,,https://en.wiktionary.org/wiki/ata#Yoruba
yes,Yup'ik,piilitsaaq,,piilitsaaq,?,other,spice,Wiktionary,,,,,,
yes,Zhuang,lwgmanh,,lwgmanh,?,other,spice,Wiktionary,,,,,,
,Zinacantán Tzotzil,pimenta,,pimenta,1. clearly borrowed,pigment,spice,WOLD,,,,,,
,Zulu,upelepele,,upelepele,?,pippali,spice,Wiktionary,,,,,,
