,iso,glcode,language,level,branch,family,macroarea,country,lat,lon,from
0,pst,sino1245,Proto-Sino-Tibetan,proto-language,,Sino-Tibetan,Asia,,24.0,100.0,manual
1,pii,,Proto-Iranian,proto-language,,Indo-European,Eurasia,,45.0,65.0,manual
2,dra,drav1251,Proto-Dravidian,proto-language,,Dravidian,Asia,IN SL,11.0,78.0,manual
3,,gane1238,!Gã!ne,language,,Tuu,Africa,ZA,-31.32,28.75,glot
4,oun,oung1238,!O!ung,language,,,Africa,,-15.3,14.35,glot
5,,kwii1241,!Ui,family,,Tuu,,,,,glot
6,knw,kung1261,!Xun (Ekoka),language,Ju-Kung,Kxa,Africa,NA AO,-19.6666666667,18.0,wals1
7,nmn,xooo1239,!Xóõ,language,Tu,Tu,Africa,BW,-24.0,21.5,wals1
8,,abda1238,'Abd Al-Kuri,dialect,,Afro-Asiatic,Africa,YE,12.1959,52.2282,glot
9,,aden1242,'Aden,dialect,,Afro-Asiatic,Eurasia,,,,glot
10,,alga1234,'Algaden,dialect,,Afro-Asiatic,Africa,,,,glot
11,alu,area1240,'Are'are,language,Oceanic,Austronesian,Papunesia,SB,-9.25,161.166666667,wals1
12,kud,auhe1237,'Auhelawa,language,,Austronesian,Papunesia,PG,-10.0959,151.002,glot
13,,bali1276,'Bali'ba,dialect,,cent2225,Africa,,,,glot
14,,bule1242,'Bulengee,dialect,,Atlantic-Congo,Africa,,,,glot
15,,doli1238,'Dolimi,dialect,,Atlantic-Congo,Africa,,,,glot
16,,olee1239,'Ole,dialect,,Sino-Tibetan,Eurasia,,,,glot
17,hnh,anii1246,//Ani,language,Khoe-Kwadi,Khoe-Kwadi,Africa,BW,-18.9166666667,21.9166666667,wals1
18,gnk,gana1274,//Gana,language,,Khoe–Kwadi,Africa,BW,-21.8555,22.2003,glot
19,xeg,xegw1238,//Xegwi,language,,Tuu,Africa,ZA,-26.3407,30.4028,glot
20,,qabe1238,/=Haba,dialect,,Khoe–Kwadi,Africa,,,,glot
21,gku,kxau1242,/=Ungkue,dialect,,Tuu,Africa,ZA,-29.4046,22.2901,glot
22,gwj,gwii1239,/Gwi,language,,Khoe–Kwadi,Africa,BW,-22.2708,21.9431,glot
23,xam,xamm1241,/Xam,language,Tu,Tu,Africa,ZA,-31.0,21.0,wals1
24,,3adt1234,3Ad-Tekles,dialect,,Afro-Asiatic,Africa,,,,glot
25,huc,huaa1248,=|Hoan,language,=|Hoan,Kxa,Africa,BW,-25.5,25.0,wals1
26,,aben1248,A'beng,dialect,,Sino-Tibetan,Eurasia,,,,glot
27,,achi1255,A'chick,dialect,,Sino-Tibetan,Eurasia,,,,glot
28,aou,aoua1234,A'ou,language,,taik1256,Eurasia,CN,26.8,105.85,glot
29,,awee1241,A'we,dialect,,Sino-Tibetan,Eurasia,,,,glot
30,apq,apuc1241,A-Pucikwar,language,Great Andamanese,Great Andamanese,Eurasia,IN,12.1666666667,92.8333333333,wals1
31,,ahkk1235,AHK,family,,sout2845,,,,,glot
32,,apam1237,AP-AM-AH,family,,quec1387,,,,,glot
33,,aala1237,Aalawa,dialect,,Austronesian,Papunesia,,,,glot
34,,aant1238,Aantantara,dialect,,Nuclear Trans New Guinea,Papunesia,,,,glot
35,aiw,aari1239,Aari,language,South Omotic,Afro-Asiatic,Africa,ET,6.0,36.5833333333,wals1
36,aiz,aari1238,Aari-Gayil,family,,sout2845,,,,,glot
37,aay,aari1240,Aariya,language,,,Eurasia,,,,glot
38,aas,aasa1238,Aasax,language,,Afro-Asiatic,Africa,TZ,-4.00679,36.8648,glot
39,,aasd1234,Aasdring,dialect,,Indo-European,Eurasia,,,,glot
40,,aata1238,Aatasaara,dialect,,Nuclear Trans New Guinea,Papunesia,,,,glot
41,,abab1239,Ababda,dialect,,Afro-Asiatic,Africa,,,,glot
42,,abab1240,Ababuan,family,,Atlantic-Congo,,,,,glot
43,,abad1243,Abadani,dialect,,Indo-European,Eurasia,,,,glot
44,,abad1242,Abadei,dialect,,Indo-European,Eurasia,,,,glot
45,kbt,abad1241,Abadi,language,,Austronesian,Papunesia,PG,-9.03389,146.992,glot
46,,abad1240,Abadzex,dialect,,abkh1242,Eurasia,,,,glot
47,abg,abag1245,Abaga,language,,Nuclear Trans New Guinea,Papunesia,PG,-6.12028,145.665,glot
48,,abai1239,Abai,dialect,,Austronesian,Papunesia,,,,glot
49,abf,abai1240,Abai Sungai,language,,Austronesian,Papunesia,MY,5.55394,118.306,glot
50,,abai1241,Abai Tubu-Abai Sembuak,language,,Austronesian,Papunesia,ID,3.524226,116.162455,glot
51,,abaj1234,Abajeño Mexican Spanish,dialect,,Indo-European,Eurasia,,,,glot
52,,abak1242,Abak,dialect,,Atlantic-Congo,Africa,,,,glot
53,,abak1243,Abaka,dialect,,Austronesian,Papunesia,,,,glot
54,,abal1238,Abaletti,dialect,,yele1255,Papunesia,,,,glot
55,,abam1239,Abam,dialect,,east2503,Papunesia,,,,glot
56,,aban1243,Abancay,dialect,,quec1387,South America,,,,glot
57,abm,aban1242,Abanyom,language,,Atlantic-Congo,Africa,NG,6.30619,8.63055,glot
58,,aban1245,Abanyom-Nkem-Nkum,family,,Atlantic-Congo,,,,,glot
59,,abar1239,Abar,dialect,,Atlantic-Congo,Africa,,,,glot
60,aau,abau1245,Abau,language,Upper Sepik,Sepik,Papunesia,PG,-4.0,141.25,wals1
61,,abaw1238,Abawa,dialect,,Atlantic-Congo,Africa,,,,glot
62,flh,foau1240,Abawiri,language,,Lakes Plain,Papunesia,ID,-3.04582,139.213,glot
63,,abay1238,Abayongo,dialect,,Atlantic-Congo,Africa,,,,glot
64,abq,abaz1241,Abaza,language,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,44.0,42.0,wals1
65,,abbe1238,Abbey-Ve,dialect,,Atlantic-Congo,Africa,,,,glot
66,,abbr1238,Abbruzzesi,dialect,,Indo-European,Eurasia,,,,glot
67,,abch1234,Abchuya'i,dialect,,Indo-European,Eurasia,,,,glot
68,,abee1243,Abe (Anyin),dialect,,Atlantic-Congo,Africa,,,,glot
69,,abed1238,Abedju-Azaki,dialect,,cent2225,Africa,,,,glot
70,,abel1234,Abellen-Botolan,family,,Austronesian,,,,,glot
71,,aben1250,Abenaki,family,,algi1248,,,,,glot
72,abe,west2630,Abenaki (Western),language,Algonquian,Algic,North America,US CA,44.0,-72.25,wals1
73,,aben1247,Abeng,dialect,,Sino-Tibetan,Eurasia,,,,glot
74,abp,aben1249,Abenlen Ayta,language,,Austronesian,Papunesia,PH,15.4131,120.2,glot
75,,abgu1238,Abgue,dialect,,Afro-Asiatic,Africa,,,,glot
76,abi,abid1235,Abidji,language,,Atlantic-Congo,Africa,CI,5.65656,-4.58421,glot
77,,abie1238,Abiem,dialect,,nilo1247,Africa,,,,glot
78,,abig1238,Abigar,dialect,,nilo1247,Africa,,,,glot
79,,abil1238,Abiliang,dialect,,nilo1247,Africa,,,,glot
80,,abin1242,Abini,dialect,,Atlantic-Congo,Africa,,,,glot
81,bsa,abin1243,Abinomn,language,,nan,Papunesia,ID,-2.92281,138.891,glot
82,axb,abip1241,Abipon,language,,guai1249,South America,AR,-29.0,-61.0,glot
83,axb,abip1241,Abipón,language,South Guaicuruan,Guaicuruan,South America,AR,-29.0,-61.0,wals1
84,,abka1238,Abkar,dialect,,maba1274,Africa,,,,glot
85,abk,abkh1244,Abkhaz,language,Northwest Caucasian,Northwest Caucasian,Eurasia,GE,43.0833333333,41.0,wals1
86,,abkh1243,Abkhaz-Abaza,family,,abkh1242,,,,,glot
87,,abkh1242,Abkhaz-Adyge,family,,nan,,,,,glot
88,,able1237,Ableg-Salegseg,dialect,,Austronesian,Papunesia,,,,glot
89,,aboo1242,Abo,dialect,,Atlantic-Congo,Africa,,,,glot
90,,aboo1241,Abo (Bokyi),dialect,,Atlantic-Congo,Africa,,,,glot
91,,abob1234,Abo-Barombi,family,,Atlantic-Congo,,,,,glot
92,aob,abom1238,Abom,language,,anim1240,Papunesia,PG,-8.42448,142.842,glot
93,abo,abon1238,Abon,language,,Atlantic-Congo,Africa,CM NG,6.90621,10.8769,glot
94,,abou1238,Abou Charib,dialect,,tama1329,Africa,,,,glot
95,,abra1237,Abra-De-Ilog,dialect,,Austronesian,Papunesia,,,,glot
96,abr,abro1238,Abron,language,,Atlantic-Congo,Africa,CI GH,7.72094,-2.50289,glot
97,,abru1239,Abruzzese-Calabrian-Molisean Romani,dialect,,Indo-European,Eurasia,,,,glot
98,,absh1238,Absheron,dialect,,Indo-European,Eurasia,,,,glot
99,ado,abuu1241,Abu,language,,lowe1437,Papunesia,PG,-4.24027,144.474,glot
100,,abus1238,Abu Sinun,dialect,,kadu1256,Africa,,,,glot
101,aah,abua1245,Abu' Arapesh,language,,nucl1708,Papunesia,PG,-3.461612,142.917031,glot
102,abn,abua1244,Abua,language,,Atlantic-Congo,Africa,NG,4.83057,6.61492,glot
103,,abua1243,Abua-Odual,family,,Atlantic-Congo,,,,,glot
104,abz,abui1241,Abui,language,Greater Alor,Timor-Alor-Pantar,Papunesia,ID,-8.25,124.666666667,wals1
105,,abuj1237,Abujmaria,dialect,,Dravidian,Eurasia,,,,glot
106,,abul1238,Abuldugu,dialect,,nilo1247,Africa,,,,glot
107,kgr,abun1252,Abun,language,North-Central Bird's Head,West Papuan,Papunesia,ID,-0.5,132.5,wals1
108,,abun1253,Abun Je,dialect,,abun1252,Papunesia,,,,glot
109,,abun1255,Abun Ji,dialect,,abun1252,Papunesia,,,,glot
110,,abun1254,Abun Tat,dialect,,abun1252,Papunesia,,,,glot
111,abu,abur1243,Abure,language,,Atlantic-Congo,Africa,CI,5.21534,-3.64123,glot
112,mgj,abur1244,Abureni,language,,Atlantic-Congo,Africa,NG,4.62301,6.50634,glot
113,,abuz1234,Abuzaydabadi,dialect,,Indo-European,Eurasia,,,,glot
114,,abya1234,Abyane'i,dialect,,Indo-European,Eurasia,,,,glot
115,,abzh1238,Abzhui,dialect,,abkh1242,Eurasia,,,,glot
116,aba,abee1242,Abé,language,,Atlantic-Congo,Africa,CI,5.59682,-4.38497,glot
117,,acad1238,Acadian,dialect,,Indo-European,Eurasia,,,,glot
118,,acat1240,Acatepec,dialect,,otom1299,North America,,,,glot
119,tpx,acat1239,Acatepec Me'phaa,language,,otom1299,North America,MX,17.1034,-99.0602,glot
120,,acch1238,Acchami,dialect,,Indo-European,Eurasia,,,,glot
121,,cham1327,Aceh-Chamic,family,,Austronesian,,,,,glot
122,ace,achi1257,Acehnese,language,Malayo-Sumbawan,Austronesian,Eurasia,ID,5.5,95.5,wals1
123,aca,acha1250,Achagua,language,Inland Northern Arawakan,Arawakan,South America,CO,4.41666666667,-72.25,wals1
124,acn,acha1249,Achang,language,Burmese-Lolo,Sino-Tibetan,Eurasia,MM CN,25.0,98.5,wals1
125,,acha1252,Achangic,family,,Sino-Tibetan,,,,,glot
126,yif,ache1244,Ache,language,,Sino-Tibetan,Eurasia,CN,24.152,102.446,glot
127,acz,ache1245,Acheron,language,,narr1279,Africa,SD,10.8827,30.3187,glot
128,,ache1247,Acheron-Tocho,family,,narr1279,,,,,glot
129,acr,achi1256,Achi,language,,maya1287,North America,GT,15.073,-90.3513,glot
130,acc,achi1258,"Achi', Cubulco",language,,,North America,,,,glot
131,,achi1247,Achik,dialect,,Sino-Tibetan,Eurasia,,,,glot
132,ach,acol1236,Acholi,language,Nilotic,Eastern Sudanic,Africa,UG SD,3.0,32.6666666667,wals1
133,act,acht1238,Achterhoeks,dialect,,Indo-European,Eurasia,DE NL,52.021,6.47521,glot
134,,acht1239,Achterveld,dialect,,Tuu,Africa,,,,glot
135,acu,achu1248,Achuar,language,Jivaroan,Jivaroan,South America,PE,-2.66667,-76.0,wals1
136,,achu1249,Achuar,dialect,,jiva1245,South America,,,,glot
137,acu,achu1248,Achuar-Shiwiar,language,,jiva1245,South America,EC PE,-2.82646,-77.2641,glot
138,acv,achu1247,Achumawi,language,Palaihnihan,Hokan,North America,US,41.5,-121.0,wals1
139,guq,ache1246,Aché,language,Tupi-Guaraní,Tupian,South America,PY,-25.25,-55.1666666667,wals1
140,acr,quic1275,Achí,language,Mayan,Mayan,North America,GT,15.1666666667,-90.5,wals1
141,,acii1238,Aci,dialect,,Nuclear Trans New Guinea,Papunesia,,,,glot
142,,acod1234,Acodi,dialect,,Nuclear Trans New Guinea,Papunesia,,,,glot
143,ach,acol1236,Acoli,language,,nilo1247,Africa,SS UG,3.57738,32.5147,glot
144,kjq,west2632,Acoma,language,Keresan,Keresan,North America,US,34.9166666667,-107.583333333,wals1
145,,acom1246,Acoma,dialect,,kere1287,North America,,,,glot
146,,acro1240,Acrolectal Fiji English,dialect,,Indo-European,Eurasia,,,,glot
147,acs,acro1239,Acroá,language,,nucl1710,South America,BR,-12.594,-40.21445,glot
148,,adaa1238,Ada,dialect,,Atlantic-Congo,Africa,,,,glot
149,adb,adab1235,Adabe,language,,,Papunesia,,-8.22674,125.576,glot
150,,adae1234,Adaeseño Spanish,dialect,,Indo-European,Eurasia,,,,glot
151,xad,adai1235,Adai,language,,nan,North America,US,31.6314,-92.0059,glot
152,,adam1257,Adamawa Bua,family,,Atlantic-Congo,,,,,glot
153,,adam1254,Adamawa Fali,family,,Atlantic-Congo,,,,,glot
154,fub,adam1253,Adamawa Fulfulde,language,,Atlantic-Congo,Africa,CM ER ET NG SD TD,8.140326,13.077338,glot
155,,adam1260,Adamawa-Bagirmi Fulfulde,family,,Atlantic-Congo,,,,,glot
156,ads,adam1238,Adamorobe Sign Language,language,Sign Languages,other,Africa,GH,5.83333333333,-0.166666666667,wals1
157,,adan1249,Adan,dialect,,Atlantic-Congo,Africa,,,,glot
158,adn,adan1251,Adang,language,Greater Alor,Timor-Alor-Pantar,Papunesia,ID,-8.2,124.0,wals1
159,,adan1250,Adang (Lundayeh),dialect,,Austronesian,Papunesia,,,,glot
160,,adan1252,Adang-Hamap-Kabola,family,,timo1261,,,,,glot
161,adq,adan1248,Adangbe,language,,Atlantic-Congo,Africa,GH TG,6.50546,0.727155,glot
162,ada,adan1247,Adangme,language,,Atlantic-Congo,Africa,GH,5.9437,0.13243,glot
163,adp,adap1234,Adap,language,,,Eurasia,,27.141,90.3369,glot
164,,adar1242,Adarawa,dialect,,Afro-Asiatic,Africa,,,,glot
165,tiu,adas1235,Adasen,language,,Austronesian,Papunesia,PH,17.8187,120.905,glot
166,,addi1234,Addis Ababa Ethiopian Sign Language,dialect,,,Africa,,,,glot
167,ade,adel1244,Adele,language,,Atlantic-Congo,Africa,GH TG,8.16975,0.619185,glot
168,,aden1241,Adeni,dialect,,Afro-Asiatic,Eurasia,,,,glot
169,,ader1239,Aderawa,dialect,,Afro-Asiatic,Africa,,,,glot
170,,adew1237,Adewada,dialect,,Dravidian,Eurasia,,,,glot
171,,adga1237,Adgawan,dialect,,Austronesian,Papunesia,,,,glot
172,,adha1237,Adham,dialect,,Austronesian,Eurasia,,,,glot
173,,adha1238,Adhari,language,,Indo-European,Eurasia,AZ,40.05,48.06,glot
174,,tati1243,Adharic,family,,Indo-European,,,,,glot
175,adh,adho1243,Adhola,language,,nilo1247,Africa,KE UG,0.73235,34.0341,glot
176,,adho1241,Adhola-Alur-Luo,family,,nilo1247,,,,,glot
177,,adho1242,Adhola-Luo,family,,nilo1247,,,,,glot
178,,adid1237,Adi Dravida,dialect,,Dravidian,Eurasia,,,,glot
179,,adib1240,Adibom,dialect,,Atlantic-Congo,Africa,,,,glot
180,,adie1238,Adie,dialect,,Atlantic-Congo,Africa,,,,glot
181,,adih1238,Adihup,dialect,,hata1242,Papunesia,,,,glot
182,,adij1237,Adijaya,dialect,,Austronesian,Papunesia,,,,glot
183,,adim1238,Adim,dialect,,Atlantic-Congo,Africa,,,,glot
184,adj,adio1239,Adioukrou,language,,Atlantic-Congo,Africa,CI,5.38228,-4.52522,glot
185,,adiv1238,Adivasi Wagdi,dialect,,Indo-European,Eurasia,,,,glot
186,gas,adiw1235,Adiwasi Garasia,language,,Indo-European,Eurasia,IN,24.0712,73.1426,glot
187,,adiy1237,Adiya,dialect,,Dravidian,Eurasia,,,,glot
188,,adja1238,Adjabdurah,dialect,,Pama-Nyungan,Australia,,,,glot
189,,adju1239,Adjumani,dialect,,cent2225,Africa,,,,glot
190,,adku1239,Adkuri,dialect,,Indo-European,Eurasia,,,,glot
191,,admi1239,Admiralty Islands,family,,Austronesian,,,,,glot
192,adt,adny1235,Adnyamathanha,language,,Pama-Nyungan,Australia,AU,-30.1451,138.671,glot
193,,adoo1237,Ado,dialect,,Austronesian,Papunesia,,,,glot
194,,adom1238,Adoma,dialect,,Atlantic-Congo,Africa,,,,glot
195,adr,adon1237,Adonara,language,,Austronesian,Papunesia,ID,-8.32027,123.159,glot
196,,adoy1238,Adoyo,dialect,,nilo1247,Africa,,,,glot
197,,aduu1238,Adu,dialect,,nort2923,Papunesia,,,,glot
198,adu,adug1238,Aduge,language,,,Africa,,7.64567,6.13085,glot
199,,adun1238,Adun,dialect,,Atlantic-Congo,Africa,,,,glot
200,,adur1234,Adurgari,language,,spee1234,Eurasia,AF,33.79,69.32,glot
201,ady,adyg1241,Adyghe,language,,abkh1242,Eurasia,IL JO RU SY TR,44.0,39.33,glot
202,ady,adyg1241,Adyghe (Abzakh),language,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,45.2333333333,40.5833333333,wals1
203,ady,adyg1241,Adyghe (Shapsugh),language,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,45.0,38.75,wals1
204,ady,adyg1241,Adyghe (Temirgoy),language,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,45.2166666667,39.7,wals1
205,adt,adny1235,Adynyamathanha,language,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,-30.5,139.5,wals1
206,adz,adze1240,Adzera,language,Oceanic,Austronesian,Papunesia,PG,-6.25,146.25,wals1
207,azr,adze1241,Adzera (Retired),language,,,,,,,glot
208,,adzh1238,Adzhar,dialect,,kart1248,Eurasia,,,,glot
209,,aegi1237,Aegina,dialect,,Indo-European,Eurasia,,,,glot
210,aez,aeka1244,Aeka,language,,Nuclear Trans New Guinea,Papunesia,PG,-8.855095,147.99477,glot
211,awi,aeky1238,Aekyom,language,Awin-Pare,Awin-Pare,Papunesia,PG,-5.75,141.416666667,wals1
212,,aeol1234,Aeolic,dialect,,Indo-European,Eurasia,,,,glot
213,,aequ1239,Aequian,dialect,,Indo-European,Eurasia,,,,glot
214,aeq,aerr1238,Aer,language,,Indo-European,Eurasia,PK,25.254,69.029,glot
215,ash,abis1238,Aewa,language,,nan,South America,PE,-1.284096,-75.084405,glot
216,,aewa1238,Aewa (Western Province),dialect,,anim1240,Papunesia,,,,glot
217,,afas1238,Af-Ashraaf,dialect,,Afro-Asiatic,Africa,,,,glot
218,,afhe1238,Af-Helledi,dialect,,Afro-Asiatic,Africa,,,,glot
219,,afaa1238,Afa,dialect,,Atlantic-Congo,Africa,,,,glot
220,aal,afad1236,Afade,language,,Afro-Asiatic,Africa,CM NG,12.0551,14.6343,glot
221,aar,afar1241,Afar,language,,Afro-Asiatic,Africa,DJ ER ET,12.2281,41.8083,glot
222,,afen1234,Afenmai-Bendel,family,,Atlantic-Congo,,,,,glot
223,,affa1240,Affade,dialect,,Afro-Asiatic,Africa,,,,glot
224,,affi1239,Affiniam,dialect,,Atlantic-Congo,Africa,,,,glot
225,afg,afgh1239,Afghan Sign Language,language,,,Eurasia,,34.434167,70.447778,glot
226,,afgh1241,Afghanistan Balochi,dialect,,Indo-European,Eurasia,,,,glot
227,,afgh1240,Afghanistan Gorbat,language,,mixe1287,Eurasia,AF,,,glot
228,,afgh1238,Afghanistan-Uzbekistan Arabic,family,,Afro-Asiatic,,,,,glot
229,,afik1238,Afikpo,dialect,,Atlantic-Congo,Africa,,,,glot
230,aft,afit1238,Afitti,language,,nyim1244,Africa,SD,12.446,30.7611,glot
231,,afor1239,Afore,dialect,,koia1260,Papunesia,,,,glot
232,,afri1276,African American Vernacular English,dialect,,Indo-European,Eurasia,,,,glot
233,,afri1271,Afridi,dialect,,Indo-European,Eurasia,,,,glot
234,afh,afri1275,Afrihili,language,,,Africa,,,,glot
235,afr,afri1274,Afrikaans,language,Germanic,Indo-European,Africa,ZA,-31.0,22.0,wals1
236,,afri1273,Afrikaansic,family,,Indo-European,,,,,glot
237,,afri1272,Afrike,dialect,,Atlantic-Congo,Africa,,,,glot
238,,afro1255,Afro-Asiatic,family,,nan,,,,,glot
239,afs,afro1254,Afro-Seminole Creole,language,,Indo-European,North America,MX US,31.7843,-99.2934,glot
240,,afsh1238,Afshari,dialect,,Turkic,Eurasia,,,,glot
241,,afsh1239,Afsharic,dialect,,Turkic,Eurasia,,,,glot
242,,afta1234,Aftari,dialect,,Indo-European,Eurasia,,35.36,53.7,glot
243,,afud1235,Afudu,language,,Atlantic-Congo,Africa,NG,9.831149,11.296849,glot
244,,agaa1241,Aga,dialect,,Mongolic-Khitan,Eurasia,,,,glot
245,,agal1241,Agalo,dialect,,gumu1250,Africa,,,,glot
246,,agam1238,Agam,dialect,,Austronesian,Papunesia,,,,glot
247,,agan1234,Agan,dialect,,Uralic,Eurasia,,,,glot
248,,agan1235,Agan Nenets,dialect,,Uralic,Eurasia,,,,glot
249,,agar1249,Agar,dialect,,nilo1247,Africa,,,,glot
250,agd,agar1252,Agarabi,language,,Nuclear Trans New Guinea,Papunesia,PG,-6.20604,145.917,glot
251,,agar1250,Agari of Kolaba,dialect,,Indo-European,Eurasia,,,,glot
252,agi,agar1251,Agariya,language,,,Eurasia,,24.5024,82.297,glot
253,agc,agat1236,Agatu,language,,Atlantic-Congo,Africa,NG,7.97915,7.71639,glot
254,,agau1239,Agaunshe,dialect,,Atlantic-Congo,Africa,,,,glot
255,avo,agav1236,Agavotaguerra,language,,,South America,,-13.29849,-53.43936,glot
256,,cent2193,Agaw,family,,Afro-Asiatic,,,,,glot
257,,agay1235,Agayop,dialect,,Nuclear Trans New Guinea,Papunesia,,,,glot
258,,agba1238,Agbarho,dialect,,Atlantic-Congo,Africa,,,,glot
259,,agbi1234,Agbirigba,language,,spee1234,Africa,NG,,,glot
260,,agbo1241,Agbome,dialect,,Atlantic-Congo,Africa,,,,glot
261,,agbo1242,Agbon,dialect,,Atlantic-Congo,Africa,,,,glot
262,,agee1238,Ageer,dialect,,nilo1247,Africa,,,,glot
263,agq,aghe1239,Aghem,language,,Atlantic-Congo,Africa,CM,6.38956,10.0807,glot
264,,aghe1241,Aghem-Weh,family,,Atlantic-Congo,,,,,glot
265,,aghe1240,Aghemic,family,,Atlantic-Congo,,,,,glot
266,,agho1238,Agholo,dialect,,Atlantic-Congo,Africa,,,,glot
267,ahh,aghu1255,Aghu,language,,Nuclear Trans New Guinea,Papunesia,ID,-6.34674,140.043,glot
268,ggr,aghu1254,Aghu Tharnggalu,language,,Pama-Nyungan,Australia,AU,-13.735,142.426,glot
269,gtu,aghu1256,Aghu Tharnggalu (Retired),language,,,Australia,,-15.0,144.0,glot
270,agx,aghu1253,Aghul,language,Lezgic,Nakh-Daghestanian,Eurasia,RU,41.75,47.6666666667,wals1
271,,aghu1259,Aghul-Lezgi,family,,nakh1245,,,,,glot
272,xag,aghw1237,Aghwan,language,,nakh1245,Eurasia,AZ,40.374444,47.126667,glot
273,aif,agii1245,Agi,language,,nucl1708,Papunesia,PG,-3.49104,142.387,glot
274,,agii1244,Agi (Moru),dialect,,cent2225,Africa,,,,glot
275,,agiy1234,Agi-Yeri,family,,nucl1708,,,,,glot
276,,agne1238,Agneby,family,,Atlantic-Congo,,,,,glot
277,,agoa1234,Agoan,family,,lowe1437,,,,,glot
278,kit,agob1244,Agob-Ende-Kawam,language,,paho1240,Papunesia,PG,-9.08521,142.532,glot
279,ibm,agoi1246,Agoi,language,,Atlantic-Congo,Africa,NG,5.87953,8.21629,glot
280,,agoi1244,Agoi (Gen),dialect,,Atlantic-Congo,Africa,,,,glot
281,,agoi1245,Agoi-Doko-Iyoniyong,family,,Atlantic-Congo,,,,,glot
282,,agon1238,Agona,dialect,,Atlantic-Congo,Africa,,,,glot
283,,agra1238,Agrab,dialect,,Afro-Asiatic,Africa,,,,glot
284,agt,cent2084,Agta (Central),language,Greater Central Philippine,Austronesian,Papunesia,PH,17.9666666667,121.833333333,wals1
285,duo,dupa1235,Agta (Dupaningan),language,Greater Central Philippine,Austronesian,Papunesia,PH,18.0,122.083333333,wals1
286,apf,agta1234,Agta-Pahanan,language,,Austronesian,Papunesia,PH,17.0538,122.2802,glot
287,,aguu1241,Agu,dialect,,Sino-Tibetan,Eurasia,,,,glot
288,,aguu1242,Agu (Ewe),dialect,,Atlantic-Congo,Africa,,,,glot
289,agu,agua1252,Aguacatec,language,Mayan,Mayan,North America,GT,15.4166666667,-91.3333333333,wals1
290,agu,agua1252,Aguacateco,language,,maya1287,North America,GT,15.3307,-91.3153,glot
291,aga,agua1251,Aguano,language,,,South America,,-5.25,-75.8333,glot
292,,agua1254,Aguarico,dialect,,cofa1242,South America,,,,glot
293,agr,agua1253,Aguaruna,language,Jivaroan,Jivaroan,South America,PE,-5.0,-78.0,wals1
294,,aguf1237,Agufi,dialect,,Austronesian,Papunesia,,,,glot
295,,agul1244,Agul,dialect,,nakh1245,Eurasia,,,,glot
296,,agul1243,Agulis,dialect,,Indo-European,Eurasia,,,,glot
297,,agul1245,Agulis-Meghri,dialect,,Indo-European,Eurasia,,,,glot
298,aug,agun1238,Aguna,language,,Atlantic-Congo,Africa,BJ TG,7.49256,1.74452,glot
299,,aguo1238,Aguok,dialect,,nilo1247,Africa,,,,glot
300,msm,agus1235,Agusan Manobo,language,,Austronesian,Papunesia,PH,8.62731,125.742,glot
301,agn,agut1237,Agutaynen,language,,Austronesian,Papunesia,PH,10.5328,119.655,glot
302,yay,agwa1247,Agwagwune,language,,Atlantic-Congo,Africa,NG,5.81055,8.03166,glot
303,,agwa1246,Agwatashi,dialect,,Atlantic-Congo,Africa,,,,glot
304,,agob1245,Agöb,dialect,,paho1240,Papunesia,,,,glot
305,,ahaf1238,Ahafo,dialect,,Atlantic-Congo,Africa,,,,glot
306,aha,ahan1243,Ahanta,language,,Atlantic-Congo,Africa,GH,4.85147,-1.94657,glot
307,ahe,ahea1240,Ahe,language,,,,,,,glot
308,,ahea1235,Aheave,dialect,,nucl1580,Papunesia,,,,glot
309,,ahei1238,Aheima,dialect,,narr1279,Africa,,,,glot
310,,aher1237,Aheri,dialect,,Dravidian,Eurasia,,,,glot
311,kak,ahin1234,Ahin-Kayapa Kalanguya,language,,Austronesian,Papunesia,PH,16.321,120.90003,glot
312,ahr,ahir1243,Ahirani,language,,,Eurasia,,21.552,73.685,glot
313,,ahir1242,Ahiri,dialect,,Indo-European,Eurasia,,,,glot
314,aho,ahom1240,Ahom,language,,taik1256,Eurasia,IN,27.2778,88.464,glot
315,,ahou1236,Ahouic,family,,taik1256,,,,,glot
316,aht,ahte1237,Ahtena,language,,atha1245,North America,US,61.7068,-144.889,glot
317,aht,ahte1237,Ahtna,language,Athapaskan,Na-Dene,North America,US,62.0,-145.0,wals1
318,,ahua1238,Ahuatempan Popoloca,dialect,,otom1299,North America,,,,glot
319,,ahva1234,Ahvazi,dialect,,Indo-European,Eurasia,,,,glot
320,,ahwa1239,Ahwaz,dialect,,Afro-Asiatic,Eurasia,,,,glot
321,,aial1237,Ai'alu,dialect,,Austronesian,Papunesia,,,,glot
322,aih,aich1238,Ai-Cham,language,,taik1256,Eurasia,CN,25.4908,107.844,glot
323,,aian1241,Aian,family,,lowe1437,,,,,glot
324,,aibo1237,Aibondeni,dialect,,Austronesian,Papunesia,,,,glot
325,,aiew1238,Aiewomba,dialect,,anga1289,Papunesia,,,,glot
