,skip,language,term,transliteration,item,group,iso,glcode,level,branch,family,macroarea,country,lat,lon,from,text
156,,Tagalog,paminta,,paminta,pigment,tgl,taga1270,language,Greater Central Philippine,Austronesian,Papunesia,PH,15.0,121.0,wals1,paminta<br>Language: Tagalog<br>Family: Austronesian
13,,Asturian,pimientu,,pimientu,pigment,ast,astu1245,language,Romance,Indo-European,Eurasia,ES,43.25,-6.0,wals1,pimientu<br>Language: Asturian<br>Family: Indo-European
130,,Portuguese,pimenta,,pimenta,pigment,por,port1283,language,Romance,Indo-European,Eurasia,PT,39.0,-8.0,wals1,pimenta<br>Language: Portuguese<br>Family: Indo-European
150,,Spanish,pimienta,,pimienta,pigment,spa,stan1288,language,Romance,Indo-European,Eurasia,ES,40.0,-4.0,wals1,pimienta<br>Language: Spanish<br>Family: Indo-European
55,,Haitian Creole,piman,,piman,pigment,hat,hait1244,language,Creoles and Pidgins,other,North America,HT,19.0,-72.5,wals1,piman<br>Language: Haitian Creole<br>Family: other
49,,Galician,pimenta,,pimenta,pigment,glg,gali1258,language,Romance,Indo-European,Eurasia,ES,43.0,-8.0,wals1,pimenta<br>Language: Galician<br>Family: Indo-European
185,,Yaqui,pimientam,,pimientam,pigment,yaq,yaqu1251,language,Cahita,Uto-Aztecan,North America,MX,27.5,-110.25,wals1,pimientam<br>Language: Yaqui<br>Family: Uto-Aztecan
60,,Hungarian,bors,,bors,marica,hun,hung1274,language,Ugric,Uralic,Eurasia,HU,47.0,20.0,wals1,bors<br>Language: Hungarian<br>Family: Uralic
29,,Chechen,бурч ,burč,burč,marica,che,chec1245,language,Nakh,Nakh-Daghestanian,Eurasia,RU,43.25,45.8333333333,wals1,бурч <br>burč<br>Language: Chechen<br>Family: Nakh-Daghestanian
131,,Eastern Panjabi,ਕਾਲੀ ਮਿਰਚ,kali mirch,kali mirch,marica,pan,panj1256,language,,Indo-European,Eurasia,BD IN PK,30.0368,75.6702,glot,ਕਾਲੀ ਮਿਰਚ<br>kali mirch<br>Language: Eastern Panjabi<br>Family: Indo-European
137,,Sanskrit,मरीचम्,marīcam,marīcam,marica,san,sans1269,language,,Indo-European,Eurasia,IN,20.0,77.0,glot,मरीचम्<br>marīcam<br>Language: Sanskrit<br>Family: Indo-European
175,,Uyghur,مۇچ‎,much,much,marica,uig,uigh1240,language,Turkic,Altaic,Eurasia,CN,40.0,80.0,wals1,مۇچ‎<br>much<br>Language: Uyghur<br>Family: Altaic
174,,Urdu,مرچ‎,mirc,mirc,marica,urd,urdu1245,language,Indic,Indo-European,Eurasia,PK,25.0,67.0,wals1,مرچ‎<br>mirc<br>Language: Urdu<br>Family: Indo-European
22,,Bengali,মরিচ ,môric,môric,marica,ben,beng1280,language,Indic,Indo-European,Eurasia,IN BD,24.0,90.0,wals1,মরিচ <br>môric<br>Language: Bengali<br>Family: Indo-European
171,,Turkmen,burc,,burc,marica,tuk,turk1304,language,Turkic,Altaic,Eurasia,TM,40.0,58.0,wals1,burc<br>Language: Turkmen<br>Family: Altaic
19,,Bashkir,борос,boros,boros,marica,bak,bash1264,language,Turkic,Altaic,Eurasia,RU,53.0,58.0,wals1,борос<br>boros<br>Language: Bashkir<br>Family: Altaic
145,,Sindhi,ڪارو مرچ‎,kāro mircu,kāro mircu,marica,snd,sind1272,language,Indic,Indo-European,Eurasia,PK IN,26.0,69.0,wals1,ڪارو مرچ‎<br>kāro mircu<br>Language: Sindhi<br>Family: Indo-European
146,,Sinhala,ගම්මිරිස්,gammiris,gammiris,marica,sin,sinh1246,language,Indic,Indo-European,Eurasia,LK,7.0,80.5,wals1,ගම්මිරිස්<br>gammiris<br>Language: Sinhala<br>Family: Indo-European
18,,Baluchi,مرچ‎,mirc,mirc,marica,bgp,east2304,language,Iranian,Indo-European,Eurasia,PK IR AF,28.0,62.0,wals1,مرچ‎<br>mirc<br>Language: Baluchi<br>Family: Indo-European
160,,Tatar,борыч ,borıç,borıç,marica,tat,tata1255,language,Turkic,Altaic,Eurasia,RU,56.0,49.5,wals1,борыч <br>borıç<br>Language: Tatar<br>Family: Altaic
158,,Tajik,мурч,murč,murč,marica,tgk,taji1245,language,Iranian,Indo-European,Eurasia,TJ,38.6666666667,70.0,wals1,мурч<br>murč<br>Language: Tajik<br>Family: Indo-European
177,,Uzbek,murch,,murch,marica,uzs,uzbe1247,language,Turkic,Altaic,Eurasia,AF UZ,39.0,66.0,wals1,murch<br>Language: Uzbek<br>Family: Altaic
122,,Kawi,marica,,marica,marica,kaw,kawi1241,language,,Austronesian,Papunesia,ID,-7.0,111.0,glot,marica<br>Language: Kawi<br>Family: Austronesian
59,,Hindi,"मिर्च, गोल मिर्च","mirc, gol mirch",mirc,marica,hin,hind1269,language,Indic,Indo-European,Eurasia,IN,25.0,77.0,wals1,"मिर्च, गोल मिर्च<br>mirc, gol mirch<br>Language: Hindi<br>Family: Indo-European"
82,,Kirghiz,мурч ,murç,murç,marica,kir,kirg1245,language,Turkic,Altaic,Eurasia,KG,42.0,75.0,wals1,мурч <br>murç<br>Language: Kirghiz<br>Family: Altaic
64,,Indonesian,merica,,merica,marica,ind,indo1316,language,Malayo-Sumbawan,Austronesian,Papunesia,ID,0.0,106.0,wals1,merica<br>Language: Indonesian<br>Family: Austronesian
71,,Javanese,mrica,,mrica,marica,jav,java1254,language,Javanese,Austronesian,Papunesia,ID,-7.0,111.0,wals1,mrica<br>Language: Javanese<br>Family: Austronesian
72,,Kannada,"ಮೆಣಸು, ಕರಿಮೆಣಸು","meṇasu, karimeṇasu","meṇasu, karimeṇasu",marica,kan,nucl1305,language,Southern Dravidian,Dravidian,Eurasia,IN,14.0,76.0,wals1,"ಮೆಣಸು, ಕರಿಮೆಣಸು<br>meṇasu, karimeṇasu<br>Language: Kannada<br>Family: Dravidian"
75,,Kashmiri,مرژ,martz,martz,marica,kas,kash1277,language,Indic,Indo-European,Eurasia,PK IN,34.0,76.0,wals1,مرژ<br>martz<br>Language: Kashmiri<br>Family: Indo-European
77,,Kazakh,бұрыш ,burış,burış,marica,kaz,kaza1248,language,Turkic,Altaic,Eurasia,KZ,50.0,70.0,wals1,бұрыш <br>burış<br>Language: Kazakh<br>Family: Altaic
79,,Khasi,soh marit/mrit,,soh marit/mrit,marica,kha,khas1269,language,Khasian,Austro-Asiatic,Eurasia,IN,25.5,92.0,wals1,soh marit/mrit<br>Language: Khasi<br>Family: Austro-Asiatic
80,,Khmer,ម្រេច ,mrɨc,mrɨc,marica,khm,cent1989,language,Khmer,Austro-Asiatic,Eurasia,KH,12.5,105.0,wals1,ម្រេច <br>mrɨc<br>Language: Khmer<br>Family: Austro-Asiatic
95,,Maithili,मरिच,marich,marich,marica,mai,mait1250,language,Indic,Indo-European,Eurasia,NP IN,26.0,86.0,wals1,मरिच<br>marich<br>Language: Maithili<br>Family: Indo-European
102,,Manipuri,"গোলমোরোক, ꯒꯣꯜꯃꯣꯔꯣꯛ",golmorok,golmorok,marica,mni,mani1292,language,,Sino-Tibetan,Eurasia,BD IN MM,24.4409,93.3426,glot,"গোলমোরোক, ꯒꯣꯜꯃꯣꯔꯣꯛ<br>golmorok<br>Language: Manipuri<br>Family: Sino-Tibetan"
125,,Modern Ossetic,бырц,byrc,byrc,marica,,osse1243,family,,Indo-European,,AZ GE RU TR,42.98,44.61,glot,бырц<br>byrc<br>Language: Modern Ossetic<br>Family: Indo-European
37,,Dogri,काली मिर्च,kali mirch,kali mirch,marica,dgo,indo1311,language,Indic,Indo-European,Eurasia,IN,33.0,75.0,wals1,काली मिर्च<br>kali mirch<br>Language: Dogri<br>Family: Indo-European
112,,Nepali,मरिच,marich,marich,marica,nep,nepa1252,language,Indic,Indo-European,Eurasia,NP,28.0,85.0,wals1,मरिच<br>marich<br>Language: Nepali<br>Family: Indo-European
36,,Dhivehi,އަސޭމިރުސް‎ ,aseymirus,aseymirus,marica,div,dhiv1236,language,Indic,Indo-European,Eurasia,MV,4.16666666667,73.5,wals1,އަސޭމިރުސް‎ <br>aseymirus<br>Language: Dhivehi<br>Family: Indo-European
118,,Odia,"ମରୀଚ, ଗୋଲମରୀଚ","maricha, gola maricha","maricha, gola maricha",marica,ory,oriy1255,language,,Indo-European,Eurasia,IN,21.0,85.0,glot,"ମରୀଚ, ଗୋଲମରୀଚ<br>maricha, gola maricha<br>Language: Odia<br>Family: Indo-European"
123,,Oroqen,hudʒau,,hudʒau,hujiao,orh,oroq1238,language,,tung1282,Eurasia,CN RU,50.6319,125.017,glot,hudʒau<br>Language: Oroqen<br>Family: tung1282
27,,Cantonese,胡椒,wu4 ziu1,wu4 ziu1,hujiao,yue,yuec1235,language,Chinese,Sino-Tibetan,Eurasia,CN,23.0,113.0,wals1,胡椒<br>wu4 ziu1<br>Language: Cantonese<br>Family: Sino-Tibetan
179,,Vietnamese,tiêu,,tiêu,hujiao,vie,viet1252,language,Viet-Muong,Austro-Asiatic,Eurasia,VN,10.5,106.5,wals1,tiêu<br>Language: Vietnamese<br>Family: Austro-Asiatic
83,,Korean,"고추, 후추, 호초","gochu, huchu, hocho","gochu, huchu",hujiao,kor,kore1280,language,Korean,Korean,Eurasia,KP KR,37.5,128.0,wals1,"고추, 후추, 호초<br>gochu, huchu, hocho<br>Language: Korean<br>Family: Korean"
70,,Japanese,"胡椒, こしょう",koshō,koshō,hujiao,jpn,nucl1643,language,Japanese,Japanese,Eurasia,JP,37.0,140.0,wals1,"胡椒, こしょう<br>koshō<br>Language: Japanese<br>Family: Japanese"
101,,Mandarin Chinese,胡椒 ,hújiāo,hújiāo,hujiao,cmn,mand1415,language,,Sino-Tibetan,Eurasia,CN KP LA MM MN RU TW VN,40.0209,116.228,glot,胡椒 <br>hújiāo<br>Language: Mandarin Chinese<br>Family: Sino-Tibetan
56,,Hakka,胡椒 ,fù-chêu,fù-chêu,hujiao,hak,hakk1236,language,Chinese,Sino-Tibetan,Eurasia,CN,25.0,116.0,wals1,胡椒 <br>fù-chêu<br>Language: Hakka<br>Family: Sino-Tibetan
10,,Eastern Armenian,տաքդեղ,takʿdeł,takʿdeł,other,hye,nucl1235,language,,Indo-European,Eurasia,AM AZ GE IR SY TR,40.0,45.0,glot,տաքդեղ<br>takʿdeł<br>Language: Eastern Armenian<br>Family: Indo-European
168,,Tonkawa,mummunchicew,,mummunchicew,other,tqw,tonk1249,language,Tonkawa,Tonkawa,North America,US,30.25,-96.75,wals1,mummunchicew<br>Language: Tonkawa<br>Family: Tonkawa
169,,Tulu,ಎಡ್ಡೆ ಮುಂಚಿ,edde munchi,edde munchi,other,tcy,tulu1258,language,Southern Dravidian,Dravidian,Eurasia,IN,12.75,75.3333333333,wals1,ಎಡ್ಡೆ ಮುಂಚಿ<br>edde munchi<br>Language: Tulu<br>Family: Dravidian
166,,Tlingit,si.áax'u at,,si.áax'u at,other,tli,tlin1245,language,Tlingit,Na-Dene,North America,US,59.0,-135.0,wals1,si.áax'u at<br>Language: Tlingit<br>Family: Na-Dene
78,,Ket,bogij,,bogij,other,ket,kett1243,language,Yeniseian,Yeniseian,Eurasia,RU,64.0,87.0,wals1,bogij<br>Language: Ket<br>Family: Yeniseian
76,,Kavalan,mǝnnə́t,,mǝnnə́t,other,ckv,kava1241,language,,Austronesian,Papunesia,TW,24.6947,121.645,glot,mǝnnə́t<br>Language: Kavalan<br>Family: Austronesian
74,,Kanuri,mòsóró,,mòsóró,other,knc,cent2050,language,Western Saharan,Saharan,Africa,NE TD NG SD,12.0,13.0,wals1,mòsóró<br>Language: Kanuri<br>Family: Saharan
127,,Paiwan,mácam,,mácam,other,pwn,paiw1248,language,Paiwan,Austronesian,Papunesia,TW,22.5,120.833333333,wals1,mácam<br>Language: Paiwan<br>Family: Austronesian
73,,Kanuri,njìttá,,njìttá,other,knc,cent2050,language,Western Saharan,Saharan,Africa,NE TD NG SD,12.0,13.0,wals1,njìttá<br>Language: Kanuri<br>Family: Saharan
176,,Uzbek,qalampir,,qalampir,other,uzs,uzbe1247,language,Turkic,Altaic,Eurasia,AF UZ,39.0,66.0,wals1,qalampir<br>Language: Uzbek<br>Family: Altaic
126,,Otomi,nthänts'i,,nthänts'i,other,,otom1300,family,,otom1299,,,,,glot,nthänts'i<br>Language: Otomi<br>Family: otom1299
57,,Hausa,màsōr̃o,masoro,màsóor̃óo,other,hau,haus1257,language,West Chadic,Afro-Asiatic,Africa,NG NE,12.0,7.0,wals1,màsōr̃o<br>masoro<br>Language: Hausa<br>Family: Afro-Asiatic
65,,Indonesian,lada,,lada,other,ind,indo1316,language,Malayo-Sumbawan,Austronesian,Papunesia,ID,0.0,106.0,wals1,lada<br>Language: Indonesian<br>Family: Austronesian
184,,Wichí,ponhontaj,,ponhontaj,other,mzh,wich1264,language,Matacoan,Matacoan,South America,BO AR,-22.5,-62.5833333333,wals1,ponhontaj<br>Language: Wichí<br>Family: Matacoan
124,,Modern Ossetic,цывзы,cyvzy,cyvzy,other,,osse1243,family,,Indo-European,,AZ GE RU TR,42.98,44.61,glot,цывзы<br>cyvzy<br>Language: Modern Ossetic<br>Family: Indo-European
1,,Akan,moko,,moko,other,aka,akan1250,language,,Atlantic-Congo,Africa,GH TG,6.34756,-1.33254,glot,moko<br>Language: Akan<br>Family: Atlantic-Congo
8,,Archi,istihoti,,istihoti,other,aqc,arch1244,language,Lezgic,Nakh-Daghestanian,Eurasia,RU,42.0,46.8333333333,wals1,istihoti<br>Language: Archi<br>Family: Nakh-Daghestanian
164,,Tibetan,སྨག་རྒྱུ་,smag rgyu,məggyu,other,bod,tibe1272,language,,Sino-Tibetan,Eurasia,BT CN IN NP,28.3681,90.1872,glot,སྨག་རྒྱུ་<br>smag rgyu<br>Language: Tibetan<br>Family: Sino-Tibetan
26,,Burmese,ငရုတ်ကောင်း ,nga.rutkaung:,nga.rutkaung:,other,mya,nucl1310,language,Burmese-Lolo,Sino-Tibetan,Eurasia,MM,21.0,96.0,wals1,ငရုတ်ကောင်း <br>nga.rutkaung:<br>Language: Burmese<br>Family: Sino-Tibetan
162,,Thai,พริกไทย,prík-tai,phríkthay,other,tha,thai1261,language,Kam-Tai,Tai-Kadai,Eurasia,TH,16.0,101.0,wals1,พริกไทย<br>prík-tai<br>Language: Thai<br>Family: Tai-Kadai
110,,Moroccan Arabic,"بزار‎, إبزار‎","bzār, ʔibzār","bzār, ʔibzār",other,ary,moro1292,language,,Afro-Asiatic,Africa,DZ EH MA,32.5,-7.5,glot,"بزار‎, إبزار‎<br>bzār, ʔibzār<br>Language: Moroccan Arabic<br>Family: Afro-Asiatic"
105,,Marathi,मिरे,mire,mire,other,mar,mara1378,language,Indic,Indo-European,Eurasia,IN,19.0,76.0,wals1,मिरे<br>mire<br>Language: Marathi<br>Family: Indo-European
42,,Erzya,порцька,porcʹka,porcʹka,other,myv,erzy1239,language,,Uralic,Eurasia,AZ BY EE KZ LT LV RU UA,52.8548,45.3901,glot,порцька<br>porcʹka<br>Language: Erzya<br>Family: Uralic
138,,Saramaccan,pë́pë,,pë́pë,other,srm,sara1340,language,,Indo-European,South America,GF SR,4.54729,-54.0238,glot,pë́pë<br>Language: Saramaccan<br>Family: Indo-European
132,,Puyuma,naná,,naná,other,pyu,puyu1239,language,,Austronesian,Papunesia,TW,22.643,120.996,glot,naná<br>Language: Puyuma<br>Family: Austronesian
100,,Manange,kutuŋ,,kutuŋ,other,nmm,mana1288,language,Bodic,Sino-Tibetan,Eurasia,NP,28.5833333333,84.0,wals1,kutuŋ<br>Language: Manange<br>Family: Sino-Tibetan
99,,Maltese,bżar,,bżar,other,mlt,malt1254,language,Semitic,Afro-Asiatic,Eurasia,MT,35.9166666667,14.4166666667,wals1,bżar<br>Language: Maltese<br>Family: Afro-Asiatic
143,,Shona,mhiripiri,,mhiripiri,other,sna,shon1251,language,,Atlantic-Congo,Africa,BW ZA ZM ZW,-17.20849,29.75725,glot,mhiripiri<br>Language: Shona<br>Family: Atlantic-Congo
98,,Malayalam,കുരുമുളക് ,kurumuḷakŭ,kurumuḷakŭ,other,mal,mala1464,language,Southern Dravidian,Dravidian,Eurasia,IN,10.0,76.5,wals1,കുരുമുളക് <br>kurumuḷakŭ<br>Language: Malayalam<br>Family: Dravidian
97,,Malay,lada,,lada,other,zsm,stan1306,language,Malayo-Sumbawan,Austronesian,Eurasia,MY,3.0,102.0,wals1,lada<br>Language: Malay<br>Family: Austronesian
163,,Thao,makámun,,makámun,other,ssf,thao1240,language,Western Plains Austronesian,Austronesian,Papunesia,TW,23.8833333333,120.916666667,wals1,makámun<br>Language: Thao<br>Family: Austronesian
111,,Navajo,azeedíchʼííʼ łibáhí,,azeedíchʼííʼ łibáhí,other,nav,nava1243,language,Athapaskan,Na-Dene,North America,US,36.1666666667,-108.0,wals1,azeedíchʼííʼ łibáhí<br>Language: Navajo<br>Family: Na-Dene
148,,Slovak,korenie,,korenie,other,slk,slov1269,language,Slavic,Indo-European,Eurasia,SK,49.0,20.0,wals1,korenie<br>Language: Slovak<br>Family: Indo-European
92,,Lü,ᦘᦲᧅ,phiik,phiik,other,khb,luuu1242,language,Kam-Tai,Tai-Kadai,Eurasia,LA MM CN,22.0,100.666666667,wals1,ᦘᦲᧅ<br>phiik<br>Language: Lü<br>Family: Tai-Kadai
52,,Kalaallisut,qasilitsoq,,qasilitsoq,other,kal,kala1399,language,,eski1264,North America,DK GL,69.3761,-52.864,glot,qasilitsoq<br>Language: Kalaallisut<br>Family: eski1264
84,,Lao,ພິກໄທ,phik thai,phik thai,other,lao,laoo1244,language,Kam-Tai,Tai-Kadai,Eurasia,LA TH,18.0,103.0,wals1,ພິກໄທ<br>phik thai<br>Language: Lao<br>Family: Tai-Kadai
153,,Sundanese,pedes,,pedes,other,sun,sund1252,language,Malayo-Sumbawan,Austronesian,Papunesia,ID,-7.0,107.0,wals1,pedes<br>Language: Sundanese<br>Family: Austronesian
14,,Atayal,mlúh,,mlúh,other,tay,atay1247,language,Atayalic,Austronesian,Papunesia,TW,24.5,121.333333333,wals1,mlúh<br>Language: Atayal<br>Family: Austronesian
30,,Cherokee,ᏗᏆᏲᏙᏗ ,diquayododi,diquayododi,other,chr,cher1273,language,Southern Iroquoian,Iroquoian,North America,US,35.5,-83.5,wals1,ᏗᏆᏲᏙᏗ <br>diquayododi<br>Language: Cherokee<br>Family: Iroquoian
53,,Gujarati,મરી,mari,mari,other,guj,guja1252,language,Indic,Indo-European,Eurasia,IN,23.0,72.0,wals1,મરી<br>mari<br>Language: Gujarati<br>Family: Indo-European
12,,Assamese,জলকীয়া,zolokia,zolokia,other,asm,assa1263,language,Indic,Indo-European,Eurasia,IN,26.0,93.0,wals1,জলকীয়া<br>zolokia<br>Language: Assamese<br>Family: Indo-European
159,,Tamil,மிளகு,miḷaku,miḷaku,other,tam,tami1289,language,Southern Dravidian,Dravidian,Eurasia,LK IN,11.0,78.5,wals1,மிளகு<br>miḷaku<br>Language: Tamil<br>Family: Dravidian
187,,Yoruba,ata,,ata,other,yor,yoru1245,language,,Atlantic-Congo,Africa,BJ NG,7.15345,3.67225,glot,ata<br>Language: Yoruba<br>Family: Atlantic-Congo
161,,Telugu,మిరియము,miriyamu,miriyamu,other,tel,telu1262,language,South-Central Dravidian,Dravidian,Eurasia,IN,16.0,79.0,wals1,మిరియము<br>miriyamu<br>Language: Telugu<br>Family: Dravidian
