,Unnamed: 0,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
1359,1359,lit,lith1251,Lithuanian,55.0,24.0,Baltic,Indo-European,Eurasia,LT,other,language,wals1
1367,1367,los,loni1238,Loniu,-2.06666666667,147.333333333,Oceanic,Austronesian,Papunesia,PG,other,language,wals1
1377,1377,lug,gand1255,Luganda,0.5,32.1666666667,Bantoid,Niger-Congo,Africa,UG,cha,language,wals1
1386,1386,luo,luok1236,Luo,-0.5,34.75,Nilotic,Eastern Sudanic,Africa,TZ KE,cha,language,wals1
1392,1392,ltz,luxe1241,Luxemburgeois,49.8333333333,6.16666666667,Germanic,Indo-European,Eurasia,LU,te,language,wals1
1414,1414,mad,nucl1460,Madurese,-7.0,113.5,Malayo-Sumbawan,Austronesian,Papunesia,ID,te,language,wals1
1432,1432,mak,maka1311,Makassar,-5.41666666667,119.583333333,South Sulawesi,Austronesian,Papunesia,ID,te,language,wals1
1437,1437,plt,plat1254,Malagasy,-20.0,47.0,Barito,Austronesian,Africa,MG,te,language,wals1
1442,1442,mal,mala1464,Malayalam,10.0,76.5,Southern Dravidian,Dravidian,Eurasia,IN,cha,language,wals1
1446,1446,mlt,malt1254,Maltese,35.9166666667,14.4166666667,Semitic,Afro-Asiatic,Eurasia,MT,te,language,wals1
1465,1465,cmn,mand1415,Mandarin,34.0,110.0,Chinese,Sino-Tibetan,Eurasia,CN,cha,language,wals1
1485,1485,mri,maor1246,Maori,-40.0,176.0,Oceanic,Austronesian,Papunesia,NZ,te,language,wals1
1490,1490,zmr,mara1386,Maranungku,-13.6666666667,130.0,Wagaydy,Western Daly,Australia,AU,other,language,wals1
1491,1491,mar,mara1378,Marathi,19.0,76.0,Indic,Indo-European,Eurasia,IN,cha,language,wals1
1496,1496,mhr,east2328,Mari (Meadow),57.0,48.0,Mari,Uralic,Eurasia,RU,cha,language,wals1
1503,1503,mah,mars1254,Marshallese,7.11666666667,171.05,Oceanic,Austronesian,Papunesia,MH,te,language,wals1
1536,1536,myb,mbay1241,Mbay,8.25,17.5,Bongo-Bagirmi,Central Sudanic,Africa,TD,cha,language,wals1
1555,1555,mwv,ment1249,Mentawai,-1.5,99.0,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,ID,te,language,wals1
1574,1574,min,mina1268,Minangkabau,-1.0,101.0,Malayo-Sumbawan,Austronesian,Papunesia,ID,te,language,wals1
1588,1588,skd,sout2985,Miwok (Southern Sierra),37.5,-120.0,Miwok,Penutian,North America,US,te,language,wals1
1622,1622,ron,roma1327,Moldavian,47.0,29.0,Romance,Indo-European,Eurasia,MD,cha,language,wals1
1640,1640,myv,erzy1239,Mordvin (Erzya),53.0,45.5,Mordvin,Uralic,Eurasia,KZ RU,cha,language,wals1
1715,1715,gld,nana1257,Nanai,49.5,137.0,Tungusic,Altaic,Eurasia,RU,cha,language,wals1
1756,1756,nep,nepa1252,Nepali,28.0,85.0,Indic,Indo-European,Eurasia,NP,cha,language,wals1
1760,1760,new,newa1246,Newari (Kathmandu),27.6666666667,85.5,Mahakiranti,Sino-Tibetan,Eurasia,NP,cha,language,wals1
1811,1811,nog,noga1249,Noghay,44.0,46.0,Turkic,Altaic,Eurasia,RU,cha,language,wals1
1818,1818,nob,norw1259,Norwegian,61.0,8.0,Germanic,Indo-European,Eurasia,NO,te,language,wals1
1823,1823,kzh,kenu1236,Nubian (Dongolese),18.25,30.75,Nubian,Eastern Sudanic,Africa,SD,cha,language,wals1
1828,1828,nut,nung1283,Nung (in Vietnam),21.9166666667,106.416666667,Kam-Tai,Tai-Kadai,Eurasia,VN,cha,language,wals1
1844,1844,yly,nyal1254,Nyelâyu,-20.3333333333,164.333333333,Oceanic,Austronesian,Papunesia,NC,te,language,wals1
1856,1856,oci,occi1239,Occitan,44.0,2.0,Romance,Indo-European,Eurasia,FR,te,language,wals1
1864,1864,ciw,chip1241,Ojibwe (Minnesota),47.6666666667,-92.5,Algonquian,Algic,North America,US,other,language,wals1
1881,1881,ori,nucl1284,Oriya,21.0,85.0,Indic,Indo-European,Eurasia,IN,cha,language,wals1
1889,1889,hae,east2652,Oromo (Harar),9.0,42.0,Lowland East Cushitic,Afro-Asiatic,Africa,ET,cha,language,wals1
1891,1891,gaz,west2721,Oromo (West-Central),9.0,37.0,Lowland East Cushitic,Afro-Asiatic,Africa,ET,cha,language,wals1
