,skip,language,term,transliteration,item,group,iso,glcode,level,branch,family,macroarea,country,lat,lon,from,text
145,,Yiddish,"צימרינג , צימערינג","tsimring, tsimering",tsimring,kinnamon,ydd,yidd1255,language,Germanic,Indo-European,Eurasia,LT PL DE BY UA,52.0,23.0,wals1,"צימרינג‎ , צימערינג‎ <br>tsimring, tsimering<br>Language: Yiddish<br>Family: Indo-European"
108,,Samoan,kinamoni,,kinamoni,kinnamon,smo,samo1305,language,Oceanic,Austronesian,Papunesia,AS WS,-13.9166666667,-171.833333333,wals1,kinamoni<br>Language: Samoan<br>Family: Austronesian
111,,Serbian Standard,цимет,cimet,cimet,kinnamon,srp,serb1264,dialect,,Indo-European,Eurasia,AL BA BG HR HU ME MK RO RS,44.3238,21.9192,glot,цимет<br>cimet<br>Language: Serbian Standard<br>Family: Indo-European
147,,Zulu,isinamoni,,isinamoni,kinnamon,zul,zulu1248,language,,Atlantic-Congo,Africa,BW LS MZ SZ ZA,-28.9,30.2,glot,isinamoni<br>Language: Zulu<br>Family: Atlantic-Congo
22,,Classical-Middle Armenian,կինամոմոն,kinamomon,kinamomon,kinnamon,xcl,clas1249,language,,Indo-European,Eurasia,AM,38.592316,41.346422,glot,կինամոմոն <br>kinamomon<br>Language: Classical-Middle Armenian<br>Family: Indo-European
23,,Coptic,"ⲕⲓⲛⲛⲁⲙⲱⲙⲟⲛ, ⲕⲓⲛⲁⲙⲟⲛ","kinnamōmon, kinamon","kinnamōmon, kinamon",kinnamon,cop,copt1239,language,Egyptian-Coptic,Afro-Asiatic,Africa,EG,26.0,32.0,wals1,"ⲕⲓⲛⲛⲁⲙⲱⲙⲟⲛ, ⲕⲓⲛⲁⲙⲟⲛ<br>kinnamōmon, kinamon<br>Language: Coptic<br>Family: Afro-Asiatic"
45,,German,Zimt,,Zimt,kinnamon,deu,stan1295,language,Germanic,Indo-European,Eurasia,AT DE CH,52.0,10.0,wals1,Zimt<br>Language: German<br>Family: Indo-European
42,,Geez,ቅናሞሙ,qənāmomu,qənāmomu,kinnamon,gez,geez1241,language,,Afro-Asiatic,Africa,ER ET,10.1342,40.6821,glot,ቅናሞሙ<br>qənāmomu<br>Language: Geez<br>Family: Afro-Asiatic
34,,English,cinnamon,,cinnamon,kinnamon,eng,stan1293,language,Germanic,Indo-European,Eurasia,GB IE,52.0,0.0,wals1,cinnamon<br>Language: English<br>Family: Indo-European
51,,Hawaiian,kinamona,,kinamona,kinnamon,haw,hawa1245,language,Oceanic,Austronesian,Papunesia,US,19.5833333333,-155.5,wals1,kinamona<br>Language: Hawaiian<br>Family: Austronesian
35,,Esperanto,cinamo,,cinamo,kinnamon,epo,espe1235,language,,,Eurasia,,49.3273,2.81045,glot,nan
