,skip,language,term,transliteration,item,group,iso,glcode,level,branch,family,macroarea,country,lat,lon,from,text
19,,Chokri Naga,"chipfweketo, thime",,"chipfweketo, thime",other,nri,chok1243,language,,Sino-Tibetan,Eurasia,IN,25.5636,94.2887,glot,"chipfweketo, thime<br>Language: Chokri Naga<br>Family: Sino-Tibetan"
4,,Ao Naga,sungshi,,sungshi,other,njo,aona1235,language,,Sino-Tibetan,Eurasia,IN,26.3241,94.3824,glot,sungshi<br>Language: Ao Naga<br>Family: Sino-Tibetan
85,,Manipuri,উশিংশা,ushingsha,ushingsha,other,mni,mani1292,language,,Sino-Tibetan,Eurasia,BD IN MM,24.4409,93.3426,glot,উশিংশা<br>ushingsha<br>Language: Manipuri<br>Family: Sino-Tibetan
82,,Malayalam,കറുവപ്പട്ട,kaṟuvappaṭṭa,kaṟuvappaṭṭa,other,mal,mala1464,language,Southern Dravidian,Dravidian,Eurasia,IN,10.0,76.5,wals1,കറുവപ്പട്ട <br>kaṟuvappaṭṭa<br>Language: Malayalam<br>Family: Dravidian
115,,Sinhala,කුරුඳු,kuruňdu,kuruňdu,other,sin,sinh1246,language,Indic,Indo-European,Eurasia,LK,7.0,80.5,wals1,කුරුඳු<br>kuruňdu<br>Language: Sinhala<br>Family: Indo-European
81,,Malay,kulit kayu manis,,kulit kayu manis,other,zsm,stan1306,language,Malayo-Sumbawan,Austronesian,Eurasia,MY,3.0,102.0,wals1,kulit kayu manis<br>Language: Malay<br>Family: Austronesian
46,,Gujarati,તજ,taj,taj,other,guj,guja1252,language,Indic,Indo-European,Eurasia,IN,23.0,72.0,wals1,તજ <br>taj<br>Language: Gujarati<br>Family: Indo-European
121,,Sumi Naga,"losani, akusa",,"losani, akusa",other,nsm,sumi1235,language,,Sino-Tibetan,Eurasia,IN,25.9996,94.4235,glot,"losani, akusa<br>Language: Sumi Naga<br>Family: Sino-Tibetan"
12,,Brunei Malay,kayu manis,,kayu manis,other,,brun1243,dialect,,Austronesian,Papunesia,,4.53,114.72,glot,kayu manis<br>Language: Brunei Malay<br>Family: Austronesian
146,,Yoruba,eso igi gbigbẹ oloorun,,eso igi gbigbẹ oloorun,other,yor,yoru1245,language,,Atlantic-Congo,Africa,BJ NG,7.15345,3.67225,glot,eso igi gbigbẹ oloorun<br>Language: Yoruba<br>Family: Atlantic-Congo
71,,Lao,ອົບເຊຍ,obsey,obsey,other,lao,laoo1244,language,Kam-Tai,Tai-Kadai,Eurasia,LA TH,18.0,103.0,wals1,ອົບເຊຍ<br>obsey<br>Language: Lao<br>Family: Tai-Kadai
75,,Lotha Naga,xsangsuru,,xsangsuru,other,njh,loth1237,language,,Sino-Tibetan,Eurasia,IN,26.01396,94.04355,glot,xsangsuru<br>Language: Lotha Naga<br>Family: Sino-Tibetan
