include,id,nature,category,tags,species,species by,subspecies,species syn,species syn by,species alt,wyk name,amar name,hu name,other name,wikipedia,POWO,GBIF,family,part used,region of origin,country,lat,lon,source,year recorded in TCM,macroarea,range,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,pharmaceutical,pharma en,TCM,TCM DB,TCM name,TCM pinyin,desc,medicinal group,meridian,action,Hu zh,Ayurveda,Words,Britannica,Notes,English,En alt,Plant name,Chinese WN,Chinese simp,Chinese,Ch transliteration,Jyutping,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,FOC,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Hu en,Extra,sym,hu_1990,IPNI,TPL,TROP,EOL,WFO,NCBI,NCBI id
out,Siegesbeckia Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Siegesbeckiae Herba,Siegesbeckia Herb,yes,polyu-tcm,豨薟草,xīliǎncǎo,"Dried aerial part of Siegesbeckia orientalis L., Siegesbeckia pubescens Makino or Siegesbeckia glabrescens Makino (Fam. Compositae)",Wind-dampness-dispelling and heat-clearing medicinal,"pungent, bitter; cold","Liver, Kidney",,,,,,,,,,,豨薟草,xīliǎncǎo,? ? cou2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Silktree Albizia Bark,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Albiziae Cortex,Silktree Albizia Bark,yes,polyu-tcm,合歡皮,héhuānpí,Dried stem bark of Albizia julibrissin Durazz. (Fam. Fabaceae),Heart-nourishing tranquillizing medicinal,sweet; neutral,"Liver, Heart, Lung",,,,,,,,,,,合歡皮,héhuānpí,hap6 fun1 pei4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Slenderstyle Acanthopanax Bark,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Acanthopanacis Cortex,Slenderstyle Acanthopanax Bark,yes,polyu-tcm,五加皮,wǔjiāpí,Dried root bark of Acanthopanax gracilistylus W. W. Smith (Fam. Araliaceae),Wind-dampness-dispelling and strenghten tendon and bone medicinal,"pungent, bitter; warm","Liver, Kidney",,,,,,,,,,,五加皮,wǔjiāpí,ng5 gaa1 pei4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Small Centipeda Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Centipedae Herba,Small Centipeda Herb,yes,polyu-tcm,鵝不食草,ébùshícǎo,Dried herb of Centipeda minima (L.) A. Br. et Aschers (Fam. Compositae),Wind-cold-dispersing medicinal,pungent; warm,"Lung, Liver",,,,,,,,,,,鵝不食草,ébùshícǎo,ngo4 bat1 sik6 cou2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Smoked Plum,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Mume Fructus,Smoked Plum,yes,polyu-tcm,烏梅,wūméi,Dried ripe fruit of Prunus mume (Sieb.) Sieb. et Zucc. (Fam. Rosaceae),Astringent medicinal,"astringent, sour; neutral","Liver, Spleen, Lung, Large intestine",,,,,,,,,,,烏梅,wūméi,wu1 mui4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Snake Slough,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Serpentis Periostracum,Snake Slough,yes,polyu-tcm,蛇蛻,shétùi,"Dried epidermal membrance of Elaphe taeniura Cope, Elaphe carinata (Guenther) or Zoaocys dhumnades (Cantor) (Fam. Colubridae)",Dry dampness relieve itching and kill worms medicinal,"salty, sweet; neutral",Liver,,,,,,,,,,,蛇蛻,shétùi,se4 teoi3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Snakegourd Fruit,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Trichosanthis Fructus,Snakegourd Fruit,yes,polyu-tcm,瓜蔞,guālóu,Dried fruit of Trichosanthes kirilowii Maxim. or Trichosanthes rosthornii Harms (Fam. Cucurbitaceae),Phlegm resolving medicinal,"sweet, slightly bitter; cold","Lung, Stomach, Large intestine",,,,,,,,,,,瓜蔞,guālóu,gwaa1 ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Snakegourd Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Trichosanthis Radix,Snakegourd Root,yes,polyu-tcm,天花粉,tiānhuāfěn,Dried root of Trichosanthes kirilowii Maxim. or Trichosanthes rosthornii Harms (Fam. Cucurbitaceae),Heat-clearing and fire-purging medicinal,"sweet, slightly bitter; slightly cold","Lung, Stomach",,,,,,,,,,,天花粉,tiānhuāfěn,tin1 faa1 fan2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Snow Lotus Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Saussureae Involucratae Herba,Snow Lotus Herb,yes,polyu-tcm,天山雪蓮,tiānshānxuělián,Dried aerial part of Saussurea involucrate (Kar. et Kir.) Sch. Bip. (Fam. Compositae),Blood-activating menstruation regulating medicinal,slightly bitter; warm,"Liver, Spleen, Kidney",,,,,,,,,,,天山雪蓮,tiānshānxuělián,tin1 saan1 syut3 lin4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Snowbellleaf Tickclover Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Desmodii Styracifolii Herba,Snowbellleaf Tickclover Herb,yes,polyu-tcm,廣金錢草,guǎngjīnqiáncǎo,Dried aerial part of Desmodium stryracifolium (Osb.) Merr. (Fam. Fabaceae),Dampness-draining anti-icteric medicinal,"sweet, bland; cool","Liver, Kidney, Bladder",,,,,,,,,,,廣金錢草,guǎngjīnqiáncǎo,gwong2 gam1 cin4 cou2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
